ProductName,ProductSerialNumber,ProductUnitPrice,ProductCategory
Wooden Bed King Size,xPEDz,2995,4
Wooden Bed Queen Size,u2jS3,2123,4
Aluminum Bed Queen Size,kdWIN,2655,4
Aluminum Bed King Size,0H9ok,3125,4
Leather Sofa Brown 3 Seats,LBbGn,1099,4
Leather Sofa Brown 4 Seats,Pg0vG,2229,4
Leather Sofa Black 3 Seats,pMYHW,1199,4
Leather Sofa Black 4 Seats,IGUTy,2329,4
Fabric Corner Sofa,fBTcy,6290,4
Dining Set 10 seats,gKxJf,5759,4
Dining Set 6 seats,9Mkh5,4195,4
Wooden Chair,mRbpH,342,4
Bar Chair,bye6X,295,4
Sliding Wordrobe,9j3mP,2285,4
Mirror Wordrobe,HjA10,3145,4
Wooden Dresser,DtfzK,995,4
Nightstand,ra4m2,1350,4
Wood Cabinet Black,sgFmG,746,4
Wood Cabinet White,EONhv,745,4
Bedroom Pillow,xrozL,75,4
Bedroom Blanket,jCUOk,150,4
Office Desk,pj77k,1050,4
Gaming Chair,DiIth,550,4
Wood Drawers,nIvne,345,4
Wood Shelf,Szn3K,35,4
