ProductName,ProductSerialNumber,ProductUnitPrice,ProductCategory
White Sliced Bread 750g,BFTRZ,5.12,1
Table Salt 1kg,vT0LC,2.07,1
Milk 3% 1 liter,USlOG,5.179,1
Milk 1% 1 liter,hc4Fm,4.81,1
Sour Creme 15% 200ml,tDIRC,2.28,1
Sweet Creme 38% 200ml,J50wc,6.18,1
Butter 100g,xpo6u,3.94,1
Emek Cheese 1kg,rHzfw,42.7,1
White Cheese 250g,28jsO,4.75,1
Eggs size Large,ZWUry,11.3,1
Halla 500g,GnlyA,5.17,1
Tomato 0.5 kg,MGlIO,3.95,1
Cucumber 0.5 kg,KXR7P,2.95,1
Carrot 0.5 kg,pmMzl,1.95,1
White Onion 0.5 kg,dUT4y,2.45,1
Red Onion 0.5 kg,N9Jrv,3.45,1
Red Pepper 0.5 kg,2bUZr,4.459,1
Yellow Pepper 0.5 kg,bPigN,4.46,1
Green Pepper 0.5 kg,UWoFK,4.461,1
White Rice 1kg,TYT6p,4,1
Pasta 1kg,V3821,9.8,1
Mineral Water 6 pack,nthNC,13.9,1
Turkish Coffee Elit 100g,5mwBz,8.9,1
Wheat Flour 1kg,dRaHC,3.99,1
Olive Oil 750ml,QNB48,29.9,1
White Sugar,6Fad7,4.6,1
Honey 0.5 kg,OulM1,22.8,1
Yeast 125g,3RHw2,3.9,1
Canola Oil 1 liter,U4sDv,9.9,1
